variable,correlacion,sujetos,descripcion,descripcion_corta
AnkleProSupR.angular_v,-0.96749674018697,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
ElbowFlexExtL.angle,0.8490600545960487,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
ElbowFlexExtL.angular_acc,0.9217646063785989,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
ElbowFlexExtL.angular_v,0.8417010724816757,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
ElbowFlexExtR.angle,0.5944437057230959,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
ElbowFlexExtR.angular_acc,0.9415068344083767,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
ElbowFlexExtR.angular_v,0.8791981760243709,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
ForearmProSupL.angle,0.39914432851148574,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
ForearmProSupL.angular_acc,0.4921117087975381,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
ForearmProSupL.angular_v,0.9233924423592325,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
ForearmProSupR.angle,0.7711949993253938,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
ForearmProSupR.angular_acc,-0.5704474543437356,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
ForearmProSupR.angular_v,-0.07536979202403805,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
HipAddAbdL.angle,0.8621059888341821,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
HipAddAbdL.angular_acc,-0.30478933542568176,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
HipAddAbdL.angular_v,-0.7262126194987742,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
HipAddAbdR.angle,0.8258779723858836,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
HipAddAbdR.angular_acc,-0.2176402033298048,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
HipAddAbdR.angular_v,-0.6221139540411347,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
HipFlexExtL.angle,0.688839959819064,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
HipFlexExtL.angular_acc,-0.7258428016188073,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
HipFlexExtL.angular_v,-0.9039693269769525,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
HipFlexExtR.angle,0.6170375389861725,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
HipFlexExtR.angular_acc,-0.20838303599103192,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
HipFlexExtR.angular_v,-0.814805283282425,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
HipRotL.angle,0.9419168627859159,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
HipRotL.angular_acc,-0.7262130225964832,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
HipRotL.angular_v,-0.47563694217639363,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
HipRotR.angle,0.7980960236193313,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
HipRotR.angular_acc,0.5911059288234616,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
HipRotR.angular_v,-0.14579428878425935,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
KneeFlexExtL.angle,-0.24045428843280914,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
KneeFlexExtL.angular_acc,-0.7268924018292681,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
KneeFlexExtL.angular_v,-0.6645936366185791,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
KneeFlexExtR.angle,0.021690626893471752,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
KneeFlexExtR.angular_acc,-0.17799976265015424,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
KneeFlexExtR.angular_v,-0.6436420881156227,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
LowerThoraxFlexExt.angle,0.28219731366502365,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
LowerThoraxFlexExt.angular_acc,-0.3499186411540736,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
LowerThoraxFlexExt.angular_v,-0.12778047720010738,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
LowerThoraxLatFlex.angle,0.7352972552496536,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
LowerThoraxLatFlex.angular_acc,-0.8673333467240986,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
LowerThoraxLatFlex.angular_v,-0.8617075204723043,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
LowerThoraxRot.angle,0.7777771008776426,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
LowerThoraxRot.angular_acc,-0.49975012010858827,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
LowerThoraxRot.angular_v,-0.8533886356763534,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
LumbarFlexExt.angle,0.13785019742975393,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
LumbarFlexExt.angular_acc,-0.35224516498249836,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
LumbarFlexExt.angular_v,-0.1128449550205945,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
LumbarLatFlex.angle,0.7796231304922657,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
LumbarLatFlex.angular_acc,-0.8673571265938285,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
LumbarLatFlex.angular_v,-0.8140474826893994,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
LumbarRot.angle,0.7347780585223724,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
LumbarRot.angular_acc,-0.5963656962183446,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
LumbarRot.angular_v,-0.929281635708634,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
PelvisList.angle,0.6435862282234805,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
PelvisList.angular_acc,0.11794796688487044,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
PelvisList.angular_v,-0.4337744925804907,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
PelvisRotation.angle,0.4631429371293632,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
PelvisRotation.angular_acc,-0.4299823857684923,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
PelvisRotation.angular_v,-0.7828525594788935,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
PelvisTilt.angle,0.8049011630714643,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
PelvisTilt.angular_acc,-0.7366715579578664,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
PelvisTilt.angular_v,-0.6494147532508552,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
ScapulaDeprElevL.angle,0.7593490546847705,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
ScapulaDeprElevL.angular_acc,-0.6746836104187072,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
ScapulaDeprElevL.angular_v,-0.369441190631149,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
ScapulaDeprElevR.angle,0.9630869870072286,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
ScapulaDeprElevR.angular_acc,-0.2692235132385758,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
ScapulaDeprElevR.angular_v,-0.8009658933857581,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
ScapulaProtrRetrL.angle,-0.579233593185644,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
ScapulaProtrRetrL.angular_acc,0.10628335974954199,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
ScapulaProtrRetrL.angular_v,-0.24893284496307885,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
ScapulaProtrRetrR.angle,-0.2843919126793931,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
ScapulaProtrRetrR.angular_acc,-0.42946835331735456,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
ScapulaProtrRetrR.angular_v,-0.8376111309785305,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
ShoulderAddAbdL.angle,-0.6177417850662867,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
ShoulderAddAbdL.angular_acc,-0.30003706792276963,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
ShoulderAddAbdL.angular_v,-0.8388473263036544,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
ShoulderAddAbdR.angle,-0.37085016248668845,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
ShoulderAddAbdR.angular_acc,-0.6274409307877878,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
ShoulderAddAbdR.angular_v,-0.8157487747670208,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
ShoulderFlexExtL.angle,0.6064855923104533,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
ShoulderFlexExtL.angular_acc,-0.19316814048682168,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
ShoulderFlexExtL.angular_v,-0.4697936890456354,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
ShoulderFlexExtR.angle,0.44250523883295184,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
ShoulderFlexExtR.angular_acc,-0.00011287942284585002,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
ShoulderFlexExtR.angular_v,-0.6502142726276186,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
ShoulderRotL.angle,0.6238774144841653,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
ShoulderRotL.angular_acc,-0.017020318291187463,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
ShoulderRotL.angular_v,0.2893994555761716,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
ShoulderRotR.angle,0.8894619421277511,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
ShoulderRotR.angular_acc,-0.4437418505384118,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
ShoulderRotR.angular_v,-0.37139758149183183,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
UpperThoraxFlexExt.angle,0.3619747333930207,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
UpperThoraxFlexExt.angular_acc,-0.361177719823254,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
UpperThoraxFlexExt.angular_v,-0.13550835910197526,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
UpperThoraxLatFlex.angle,0.8720724425480847,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
UpperThoraxLatFlex.angular_acc,-0.907364335927219,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
UpperThoraxLatFlex.angular_v,-0.8506492293230667,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
UpperThoraxRot.angle,0.8285258692852986,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
UpperThoraxRot.angular_acc,-0.23772011250450276,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
UpperThoraxRot.angular_v,-0.7987236942333139,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
WristDeviationL.angle,0.6595526719254402,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
WristDeviationL.angular_acc,-0.21353985279713172,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
WristDeviationL.angular_v,-0.5441310166150505,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
WristDeviationR.angle,0.8065068543254225,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
WristDeviationR.angular_acc,-0.49793373477437886,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
WristDeviationR.angular_v,-0.6202872446989142,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
WristFlexExtL.angle,0.8686818127492408,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
WristFlexExtL.angular_acc,0.19706391923879396,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
WristFlexExtL.angular_v,0.4585604203672531,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
WristFlexExtR.angle,0.9123220031856143,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
WristFlexExtR.angular_acc,-0.30472514593701666,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
WristFlexExtR.angular_v,-0.1346053287529839,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
frame_number,0.9848459438329222,5,número de fotograma (frame number): Contador incremental que identifica el orden de cada fotograma procesado.,número de fotograma (frame number): Contador incremental que identifica el orden de cada fotograma p...
frame_timestamp,0.988775648208993,5,marca de tiempo del fotograma (frame timestamp): Fecha y hora exactas de captura de cada frame.,marca de tiempo del fotograma (frame timestamp): Fecha y hora exactas de captura de cada frame.
head.position.x,0.9688647479977593,5,posición X (position X): Coordenada X en metros: izquierda (-) a derecha (+).,posición X (position X): Coordenada X en metros: izquierda (-) a derecha (+).
head.position.y,0.5245179587930274,5,posición Y (position Y): Coordenada Y en metros: abajo (-) a arriba (+).,posición Y (position Y): Coordenada Y en metros: abajo (-) a arriba (+).
head.position.z,0.9966314322864801,5,posición Z (position Z): Coordenada Z en metros: atrás (-) a adelante (+).,posición Z (position Z): Coordenada Z en metros: atrás (-) a adelante (+).
head.rotation.w,0.9941191746725428,5,head.rotation.w,head.rotation.w
head.rotation.x,0.592594619398857,5,head.rotation.x,head.rotation.x
